ImageNumber,Intensity_LowerQuartileIntensity_MIRO160mer,Intensity_LowerQuartileIntensity_Subtract_perinucleus_Miro160mer,Intensity_MADIntensity_MIRO160mer,Intensity_MADIntensity_Subtract_perinucleus_Miro160mer,Intensity_MaxIntensity_MIRO160mer,Intensity_MaxIntensity_Subtract_perinucleus_Miro160mer,Intensity_MeanIntensity_MIRO160mer,Intensity_MeanIntensity_Subtract_perinucleus_Miro160mer,Intensity_MedianIntensity_MIRO160mer,Intensity_MedianIntensity_Subtract_perinucleus_Miro160mer,Intensity_MinIntensity_MIRO160mer,Intensity_MinIntensity_Subtract_perinucleus_Miro160mer,Intensity_PercentMaximal_MIRO160mer,Intensity_PercentMaximal_Subtract_perinucleus_Miro160mer,Intensity_StdIntensity_MIRO160mer,Intensity_StdIntensity_Subtract_perinucleus_Miro160mer,Intensity_TotalArea_MIRO160mer,Intensity_TotalArea_Subtract_perinucleus_Miro160mer,Intensity_TotalIntensity_MIRO160mer,Intensity_TotalIntensity_Subtract_perinucleus_Miro160mer,Intensity_UpperQuartileIntensity_MIRO160mer,Intensity_UpperQuartileIntensity_Subtract_perinucleus_Miro160mer
43,0.001892118714749813,0.0018768596928566694,9.155413e-05,9.155413e-05,0.13958953,0.10666056,0.00207193351004228,0.0020202927927238184,0.0019684138,0.0019531548,0.0015259022,0.0015259022,1.8903648857917152e-05,2.2476844916288362e-05,0.0005600769,0.00046432918,5289984,4449023,10960.495,8988.329,0.0020904859993606806,0.0020599679555743933
44,0.001892118714749813,0.0018768596928566694,9.155413e-05,9.155413e-05,0.0911574,0.029083695,0.0020502151743275595,0.0020159918067800832,0.0019684138,0.0019531548,0.0015411612,0.0015411612,1.8903648857917152e-05,2.2457522158275675e-05,0.00042366484,0.00030858512,5289984,4452851,10845.605,8976.911,0.0020904859993606806,0.0020599679555743933
45,0.0019073777366429567,0.001892118714749813,0.00010681315,9.155413e-05,0.050949875,0.047730222,0.0020859148259593035,0.0020507890747868238,0.0019989319,0.0019836728,0.0015259022,0.0015259022,1.8903648857917152e-05,2.442860276697898e-05,0.00039738,0.00030271313,5289984,4093562,11034.456,8395.032,0.0021362630650401115,0.0021057450212538242
46,0.0018768596928566694,0.0018768596928566694,9.155413e-05,9.155413e-05,0.13981842,0.13981842,0.002108405737557524,0.002010749053420802,0.0019684138,0.0019531548,0.0015259022,0.0015259022,1.8903648857917152e-05,2.3794980544034158e-05,0.0008752132,0.00044623643,5289984,4202567,11153.433,8450.308,0.0020904859993606806,0.0020447089336812496
47,0.001892118714749813,0.0018768596928566694,0.00010681315,9.155413e-05,0.17857634,0.052857254,0.002141900640377646,0.002021860036368034,0.0019836728,0.0019531548,0.0015259022,0.0015259022,1.8903648857917152e-05,2.5207876755665598e-05,0.0011034328,0.00037278273,5289984,3967014,11330.62,8020.747,0.002121004043146968,0.0020599679555743933
48,0.0019073777366429567,0.001892118714749813,0.00012207218,0.00010681315,0.10562295,0.059372853,0.0022079081577798722,0.0020739768405322384,0.002014191,0.0019836728,0.0015106432,0.0015259022,1.8903648857917152e-05,2.9513386239029505e-05,0.0009408096,0.0004359222,5289984,3388293,11679.799,7027.241,0.002197299152612686,0.0021057450212538242
49,0.0018768596928566694,0.0018616006709635258,9.155413e-05,7.629511e-05,0.12841994,0.10736248,0.0020517049443107955,0.001977797353708942,0.0019531548,0.0019378958,0.0015259022,0.0015259022,1.8903648857917152e-05,2.1329424645169023e-05,0.0008261065,0.0002939275,5289984,4688359,10853.486,9272.624,0.0020599679555743933,0.002029449911788106
50,0.0018768596928566694,0.0018616006709635258,9.155413e-05,7.629511e-05,0.12690929,0.06564431,0.002075103194133007,0.0019914590089107516,0.0019684138,0.0019378958,0.0015106432,0.0015106432,1.8903648857917152e-05,2.290092943422109e-05,0.0007320511,0.00031947024,5289984,4366635,10977.263,8695.975,0.002075226977467537,0.0020447089336812496
51,0.0018768596928566694,0.0018616006709635258,9.155413e-05,7.629511e-05,0.14407569,0.05568017,0.0020781486384221577,0.0019838957583428254,0.0019684138,0.0019378958,0.0015106432,0.0015106432,1.8903648857917152e-05,2.3543360513358266e-05,0.0009117718,0.000311398,5289984,4247482,10993.373,8426.562,0.002075226977467537,0.002029449911788106
52,0.0018768596928566694,0.0018616006709635258,9.155413e-05,7.629511e-05,0.18437476,0.08647288,0.002039407788438018,0.0019742376830169154,0.0019531548,0.0019378958,0.0015411612,0.0015411612,1.8903648857917152e-05,2.1583774181921e-05,0.0007655514,0.00029149736,5289984,4633110,10788.435,9146.86,0.0020447089336812496,0.002029449911788106
53,0.0018768596928566694,0.0018616006709635258,9.155413e-05,7.629511e-05,0.07933165,0.065674834,0.0020193610595632236,0.001967374252550591,0.0019531548,0.0019378958,0.0014953841,0.0014953841,1.8903648857917152e-05,2.1294854950095507e-05,0.0004787533,0.00027204092,5289984,4695970,10682.388,9238.73,0.0020447089336812496,0.002029449911788106
54,0.0018768596928566694,0.0018616006709635258,9.155413e-05,7.629511e-05,0.16983292,0.12144656,0.0020264591581822364,0.001965723830172872,0.0019531548,0.0019378958,0.0015106432,0.0015106432,1.8903648857917152e-05,2.1108678453189816e-05,0.00072298385,0.0002657379,5289984,4737388,10719.937,9312.396,0.0020447089336812496,0.0020141908898949623
55,0.0018768596928566694,0.0018768596928566694,9.155413e-05,9.155413e-05,0.08700694,0.08700694,0.002165267137977166,0.0020543159443402233,0.0019684138,0.0019531548,0.0015106432,0.0015106432,1.8903648857917152e-05,2.1085565011962895e-05,0.00083301944,0.00055158243,5289984,4742581,11454.229,9742.76,0.0020904859993606806,0.0020599679555743933
56,0.001892118714749813,0.0018768596928566694,0.00012207218,9.155413e-05,0.19977112,0.19977112,0.00220933830004259,0.0020995512198038494,0.0019989319,0.0019684138,0.0015259022,0.0015259022,1.8903648857917152e-05,2.2957178434210235e-05,0.00076454505,0.00060216675,5289984,4355936,11687.364,9145.511,0.0021820401307195425,0.0020904859993606806
57,0.0019073777366429567,0.001892118714749813,0.0001373312,0.00010681315,0.033279926,0.033279926,0.0022624014331257903,0.0021304356155419915,0.002014191,0.0019836728,0.0015259022,0.0015259022,1.8903648857917152e-05,2.3470095929323093e-05,0.0007588362,0.00057444297,5289984,4260741,11968.067,9077.234,0.002243076218292117,0.002121004043146968
