ImageNumber,Intensity_LowerQuartileIntensity_MIRO160mer,Intensity_LowerQuartileIntensity_Subtract_perinucleus_Miro160mer,Intensity_MADIntensity_MIRO160mer,Intensity_MADIntensity_Subtract_perinucleus_Miro160mer,Intensity_MaxIntensity_MIRO160mer,Intensity_MaxIntensity_Subtract_perinucleus_Miro160mer,Intensity_MeanIntensity_MIRO160mer,Intensity_MeanIntensity_Subtract_perinucleus_Miro160mer,Intensity_MedianIntensity_MIRO160mer,Intensity_MedianIntensity_Subtract_perinucleus_Miro160mer,Intensity_MinIntensity_MIRO160mer,Intensity_MinIntensity_Subtract_perinucleus_Miro160mer,Intensity_PercentMaximal_MIRO160mer,Intensity_PercentMaximal_Subtract_perinucleus_Miro160mer,Intensity_StdIntensity_MIRO160mer,Intensity_StdIntensity_Subtract_perinucleus_Miro160mer,Intensity_TotalArea_MIRO160mer,Intensity_TotalArea_Subtract_perinucleus_Miro160mer,Intensity_TotalIntensity_MIRO160mer,Intensity_TotalIntensity_Subtract_perinucleus_Miro160mer,Intensity_UpperQuartileIntensity_MIRO160mer,Intensity_UpperQuartileIntensity_Subtract_perinucleus_Miro160mer
79,0.0018616006709635258,0.0018463416490703821,0.00015259022,0.00010681315,0.36626232,0.36626232,0.002374478656563517,0.002195939403125061,0.0019836728,0.0019378958,0.0014953841,0.0014953841,1.8903648857917152e-05,2.4794398647812674e-05,0.0016261948,0.0013136754,5289984,4033169,12560.954,8856.595,0.00238040741533041,0.0021057450212538242
80,0.0018768596928566694,0.0018463416490703821,0.00018310826,0.0001373312,0.32343024,0.15117113,0.002389258762408355,0.0022333790659757723,0.002014191,0.0019531548,0.0015259022,0.0015259022,1.8903648857917152e-05,2.5331308179682062e-05,0.0013971475,0.0011280443,5289984,3947684,12639.141,8816.675,0.0025024795904755592,0.0022278171963989735
81,0.0018768596928566694,0.0018463416490703821,0.00018310826,0.00012207218,0.26576638,0.1934844,0.0024050001114133803,0.0022356957215364025,0.002014191,0.0019531548,0.0015106432,0.0015106432,1.8903648857917152e-05,2.5200063302559015e-05,0.0016666267,0.0011922908,5289984,3968244,12722.412,8871.786,0.0025024795904755592,0.002197299152612686
82,0.0018463416490703821,0.0018310826271772385,0.00010681315,9.155413e-05,0.13475242,0.102800034,0.0021168516441873926,0.001988534303656631,0.0019378958,0.0019073777,0.0015106432,0.0015106432,1.8903648857917152e-05,2.8207670511842287e-05,0.0010901949,0.00048325423,5289984,3545135,11198.111,7049.6226,0.0020904859993606806,0.0020141908898949623
83,0.0018616006709635258,0.0018463416490703821,0.00012207218,9.155413e-05,0.16206607,0.14079499,0.0021720556524249413,0.0020248962651989067,0.0019531548,0.0019226368,0.0015106432,0.0015106432,1.8903648857917152e-05,2.9326657022106727e-05,0.0012487881,0.0007118645,5289984,3409867,11490.14,6904.627,0.002121004043146968,0.002029449911788106
84,0.0018463416490703821,0.0018310826271772385,9.155413e-05,7.629511e-05,0.14528115,0.105287254,0.0021334859321526303,0.00198196182870044,0.0019226368,0.0018921187,0.0014953841,0.0014953841,1.8903648857917152e-05,2.5637410108830805e-05,0.0011722996,0.0006085502,5289984,3900550,11286.106,7730.741,0.0020599679555743933,0.0019989318680018187
85,0.0018616006709635258,0.0018463416490703821,0.00012207218,9.155413e-05,0.29112688,0.10402075,0.002187541506800871,0.0020184340416816026,0.0019531548,0.0019226368,0.0015259022,0.0015259022,1.8903648857917152e-05,3.002175376277651e-05,0.0015304028,0.00063626387,5289984,3330918,11572.06,6723.2383,0.0021362630650401115,0.0020447089336812496
86,0.0018768596928566694,0.0018616006709635258,0.0001373312,0.00010681315,0.16174564,0.08371099,0.0022557731566390372,0.002094698440403485,0.0019836728,0.0019378958,0.0015106432,0.0015106432,1.8903648857917152e-05,3.078578878732315e-05,0.0013350534,0.00081714493,5289984,3248252,11933.004,6804.1084,0.00221255817450583,0.0020904859993606806
87,0.0018463416490703821,0.0018310826271772385,0.00010681315,7.629511e-05,0.14285496,0.14285496,0.0021475977644733898,0.0019816974772100654,0.0019378958,0.0019073777,0.001419089,0.001419089,1.8903648857917152e-05,2.573134927476192e-05,0.0012003382,0.00050642126,5289984,3886310,11360.758,7701.4907,0.002075226977467537,0.0019989318680018187
88,0.0018463416490703821,0.0018310826271772385,0.00010681315,9.155413e-05,0.1393454,0.1393454,0.0021740833641344663,0.0020283822881511844,0.0019378958,0.0019073777,0.0015259022,0.0015259022,1.8903648857917152e-05,2.7245202188007697e-05,0.00124445,0.0007532703,5289984,3670371,11500.866,7444.9155,0.0021057450212538242,0.002029449911788106
